Index & ID  & CEL  & NUSE & GNUSE & RLE & MA-plot & Boxplot & Heatmap\\
  42 & 597 & GSM50132.CEL.gz & 10 & 10 & 3 & 0 & 10 & 7 \\
  43 & 600 & GSM107074.CEL.gz & 5 & 0 & 1 & 0 & 0 & 2 \\
  44 & 612 & GSM107086.CEL.gz & 2 & 4 & 6 & 0 & 10 & 0 \\
  45 & 613 & GSM107087.CEL.gz & 2 & 3 & 9 & 0 & 5 & 1 \\
  46 & 638 & GSM107112.CEL.gz & 6 & 10 & 0 & 0 & 0 & 0 \\
  47 & 654 & GSM107129.CEL.gz & 9 & 10 & 0 & 0 & 3 & 0 \\
  48 & 665 & GSM107140.CEL.gz & 10 & 10 & 0 & 0 & 5 & 1 \\
  49 & 676 & GSM107151.CEL.gz & 10 & 10 & 10 & 0 & 10 & 9 \\
  50 & 691 & GSM107166.CEL.gz & 4 & 0 & 7 & 0 & 2 & 10 \\
  51 & 714 & GSM107189.CEL.gz & 8 & 9 & 0 & 0 & 0 & 0 \\
  52 & 718 & GSM107193.CEL.gz & 5 & 10 & 10 & 0 & 7 & 3 \\
  53 & 720 & GSM107195.CEL.gz & 0 & 0 & 0 & 0 & 0 & 6 \\
  54 & 723 & GSM107198.CEL.gz & 0 & 0 & 0 & 0 & 0 & 9 \\
  55 & 729 & GSM107204.CEL.gz & 0 & 0 & 0 & 0 & 0 & 7 \\
  56 & 743 & GSM107218.CEL.gz & 3 & 0 & 0 & 0 & 0 & 6 \\
  57 & 754 & GSM107229.CEL.gz & 0 & 0 & 8 & 0 & 0 & 6 \\
  58 & 756 & GSM107231.CEL.gz & 0 & 0 & 6 & 0 & 3 & 0 \\
  59 & 769 & GSM282385.CEL.gz & 6 & 0 & 0 & 0 & 0 & 3 \\
  60 & 771 & GSM282387.CEL.gz & 6 & 5 & 0 & 0 & 0 & 0 \\
  61 & 781 & GSM282397.CEL.gz & 8 & 10 & 0 & 0 & 0 & 0 \\
  62 & 782 & GSM282398.CEL.gz & 8 & 5 & 0 & 0 & 1 & 6 \\
  63 & 793 & GSM282409.CEL.gz & 10 & 10 & 0 & 0 & 0 & 4 \\
  64 & 811 & GSM282427.CEL.gz & 0 & 0 & 0 & 0 & 0 & 5 \\
  65 & 813 & GSM282429.CEL.gz & 0 & 6 & 0 & 0 & 0 & 0 \\
  66 & 868 & GSM282484.CEL.gz & 0 & 9 & 3 & 0 & 1 & 0 \\
  67 & 902 & GSM282518.CEL.gz & 1 & 0 & 10 & 0 & 6 & 3 \\
  68 & 911 & GSM282527.CEL.gz & 5 & 3 & 4 & 0 & 7 & 2 \\
  69 & 919 & GSM282535.CEL.gz & 0 & 0 & 0 & 0 & 2 & 5 \\
  70 & 921 & GSM282537.CEL.gz & 0 & 0 & 9 & 0 & 3 & 0 \\
  71 & 928 & GSM282544.CEL.gz & 10 & 10 & 0 & 0 & 2 & 0 \\
  72 & 949 & GSM282565.CEL.gz & 9 & 10 & 0 & 0 & 0 & 9 \\
  73 & 950 & GSM282566.CEL.gz & 2 & 7 & 1 & 0 & 6 & 1 \\
  74 & 954 & GSM282570.CEL.gz & 8 & 7 & 0 & 0 & 0 & 1 \\
  75 & 955 & GSM282571.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  76 & 956 & GSM282572.CEL.gz & 10 & 10 & 9 & 0 & 5 & 7 \\
  77 & 1017 & GSM505388\_23678\_AB01542166\_24636.CEL.gz & 0 & 0 & 7 & 0 & 1 & 2 \\
  78 & 1026 & GSM505397\_23678\_AB01562100\_26133.CEL.gz & 1 & 1 & 5 & 0 & 0 & 4 \\
  79 & 1091 & GSM505462\_29539\_AB01833522\_35706.CEL.gz & 6 & 1 & 0 & 0 & 0 & 0 \\
  80 & 1095 & GSM505466\_29539\_AB01833699\_35605.CEL.gz & 0 & 0 & 2 & 0 & 3 & 7 \\
  81 & 1099 & GSM505470\_29539\_AB01833733\_35649.CEL.gz & 10 & 10 & 6 & 0 & 4 & 9 \\
  82 & 1108 & GSM505479\_29539\_AB01833780\_35612.CEL.gz & 2 & 0 & 0 & 0 & 3 & 5 \\
  83 & 1118 & GSM505489\_FL398-PERU53.CEL.gz & 2 & 2 & 8 & 0 & 5 & 5 \\
  84 & 1120 & GSM505491\_FL454-713.CEL.gz & 1 & 1 & 6 & 0 & 2 & 5 \\
  85 & 1121 & GSM505492\_U133A\_FL112\_US120\_10\_13\_05.CEL.gz & 5 & 5 & 10 & 0 & 8 & 9 \\
  86 & 1122 & GSM505493\_U133A\_FL136\_US123\_11\_14\_05.CEL.gz & 10 & 10 & 9 & 0 & 10 & 10 \\
  87 & 1123 & GSM505494\_U133A\_FL137\_US134\_11\_14\_05.CEL.gz & 7 & 8 & 0 & 0 & 0 & 1 \\
  88 & 1124 & GSM505495\_U133A\_FL15\_03\_17\_05.CEL.gz & 5 & 7 & 10 & 0 & 10 & 10 \\
  89 & 1125 & GSM505496\_U133A\_FL151\_US129\_12\_08\_05.CEL.gz & 1 & 4 & 10 & 0 & 4 & 5 \\
  90 & 1126 & GSM505497\_U133A\_FL161\_US125\_01\_10\_06.CEL.gz & 4 & 8 & 10 & 0 & 8 & 10 \\
  91 & 1127 & GSM505498\_U133A\_FL175\_US147\_01\_13\_06\_2.CEL.gz & 7 & 9 & 10 & 0 & 10 & 10 \\
  92 & 1128 & GSM505499\_U133A\_FL32-US2\_05\_19\_05.CEL.gz & 6 & 7 & 10 & 0 & 8 & 10 \\
  93 & 1129 & GSM505500\_U133A\_FL46-314\_07\_08\_05.CEL.gz & 1 & 2 & 8 & 0 & 5 & 9 \\
  94 & 1130 & GSM505501\_U133A\_FL78\_US92\_09\_01\_05.CEL.gz & 0 & 0 & 9 & 0 & 4 & 8 \\
  95 & 1131 & GSM505502\_U133A\_FL80\_US97\_09\_01\_05.CEL.gz & 2 & 1 & 8 & 0 & 6 & 7 \\
  96 & 1248 & GSM441637.CEL.gz & 0 & 0 & 4 & 0 & 0 & 7 \\
  97 & 1296 & GSM441685.CEL.gz & 0 & 0 & 8 & 0 & 3 & 5 \\
  98 & 1297 & GSM441686.CEL.gz & 10 & 6 & 3 & 0 & 4 & 5 \\
  99 & 1299 & GSM441688.CEL.gz & 10 & 3 & 6 & 0 & 5 & 0 \\
  100 & 1301 & GSM441690.CEL.gz & 8 & 1 & 3 & 0 & 6 & 1 \\
  101 & 1361 & GSM441750.CEL.gz & 7 & 0 & 0 & 0 & 0 & 1 \\
  102 & 1371 & GSM441760.CEL.gz & 0 & 0 & 8 & 0 & 0 & 7 \\
  103 & 1382 & GSM441771.CEL.gz & 0 & 0 & 7 & 0 & 0 & 2 \\
  104 & 1395 & GSM441784.CEL.gz & 0 & 0 & 9 & 0 & 0 & 4 \\
  105 & 1400 & GSM441789.CEL.gz & 0 & 0 & 0 & 0 & 0 & 5 \\
  106 & 1403 & GSM441792.CEL.gz & 2 & 0 & 8 & 0 & 0 & 10 \\
  107 & 1418 & GSM441807.CEL.gz & 0 & 0 & 7 & 0 & 2 & 4 \\
  108 & 1424 & GSM441813.CEL.gz & 0 & 0 & 3 & 0 & 0 & 7 \\
  109 & 1425 & GSM441814.CEL.gz & 0 & 0 & 10 & 0 & 0 & 7 \\
  110 & 1438 & GSM441827.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  111 & 1457 & GSM441846.CEL.gz & 0 & 0 & 9 & 0 & 3 & 7 \\
  112 & 1460 & GSM441849.CEL.gz & 6 & 0 & 0 & 0 & 0 & 0 \\
  113 & 1469 & GSM441858.CEL.gz & 7 & 4 & 0 & 0 & 0 & 0 \\
  114 & 1491 & GSM441880.CEL.gz & 0 & 3 & 1 & 0 & 9 & 1 \\
  115 & 1496 & GSM441885.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  116 & 1503 & GSM441892.CEL.gz & 6 & 9 & 2 & 0 & 9 & 3 \\
  117 & 1511 & GSM441900.CEL.gz & 1 & 0 & 0 & 0 & 9 & 3 \\
  118 & 1524 & GSM441913.CEL.gz & 2 & 1 & 0 & 0 & 7 & 2 \\
  119 & 1541 & GSM441356.CEL.gz & 0 & 0 & 10 & 0 & 8 & 0 \\
  120 & 1548 & GSM441363.CEL.gz & 0 & 10 & 10 & 0 & 10 & 10 \\
  121 & 1553 & GSM441336.CEL.gz & 10 & 0 & 0 & 0 & 0 & 0 \\
  122 & 1575 & gsm65878.cel.gz & 6 & 0 & 0 & 0 & 0 & 0 \\
  123 & 1601 & gsm65849.cel.gz & 0 & 6 & 0 & 0 & 0 & 0 \\
  124 & 1606 & gsm65852.cel.gz & 0 & 0 & 0 & 0 & 0 & 9 \\
  125 & 1676 & gsm65794.cel.gz & 9 & 6 & 1 & 0 & 4 & 0 \\
  126 & 1687 & gsm65805.cel.gz & 0 & 7 & 0 & 0 & 0 & 0 \\
  127 & 1698 & gsm65816.cel.gz & 0 & 0 & 0 & 0 & 0 & 9 \\
  128 & 1709 & GSM36835.CEL.gz & 5 & 0 & 1 & 0 & 0 & 1 \\
  129 & 1718 & GSM36861.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  130 & 1725 & GSM36875.CEL.gz & 4 & 5 & 0 & 0 & 0 & 0 \\
  131 & 1731 & GSM36900.CEL.gz & 10 & 10 & 0 & 0 & 0 & 4 \\
  132 & 1732 & GSM36901.CEL.gz & 0 & 0 & 0 & 0 & 0 & 8 \\
  133 & 1750 & GSM36966.CEL.gz & 0 & 0 & 5 & 0 & 9 & 5 \\
  134 & 1753 & GSM36969.CEL.gz & 0 & 0 & 5 & 0 & 0 & 1 \\
  135 & 1757 & GSM36991.CEL.gz & 0 & 0 & 9 & 0 & 1 & 0 \\
  136 & 1758 & GSM36992.CEL.gz & 0 & 0 & 10 & 0 & 6 & 4 \\
  137 & 1759 & GSM36993.CEL.gz & 0 & 0 & 7 & 0 & 10 & 1 \\
  138 & 1769 & GSM36879.CEL.gz & 0 & 0 & 5 & 0 & 4 & 0 \\
  139 & 1779 & GSM36905.CEL.gz & 0 & 0 & 0 & 0 & 0 & 6 \\
  140 & 1813 & GSM36997.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  141 & 1824 & GSM37030.CEL.gz & 7 & 0 & 0 & 0 & 0 & 0 \\
  142 & 1836 & GSM37052.CEL.gz & 5 & 1 & 0 & 0 & 0 & 0 \\
  143 & 1848 & GSM36778.CEL.gz & 9 & 7 & 3 & 0 & 5 & 1 \\
  144 & 1849 & GSM36787.CEL.gz & 7 & 0 & 0 & 0 & 2 & 0 \\
  145 & 1858 & GSM36813.CEL.gz & 2 & 0 & 0 & 0 & 8 & 0 \\
  146 & 1873 & GSM36811.CEL.gz & 9 & 6 & 1 & 0 & 0 & 0 \\
  147 & 1925 & GSM36984.CEL.gz & 0 & 0 & 5 & 0 & 0 & 6 \\
  148 & 1949 & GSM36933.CEL.gz & 0 & 0 & 0 & 0 & 7 & 0 \\
  149 & 1959 & GSM36795.CEL.gz & 2 & 0 & 4 & 0 & 0 & 5 \\
  150 & 1980 & GSM37044.CEL.gz & 0 & 0 & 9 & 0 & 6 & 0 \\
  151 & 1999 & GSM120659.CEL.gz & 2 & 1 & 5 & 0 & 2 & 0 \\
  152 & 2001 & GSM120661.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  153 & 2004 & GSM120665.CEL.gz & 1 & 0 & 0 & 0 & 0 & 5 \\
  154 & 2013 & GSM120670.CEL.gz & 10 & 10 & 5 & 0 & 10 & 10 \\
  155 & 2024 & GSM120683.CEL.gz & 0 & 0 & 8 & 0 & 4 & 2 \\
  156 & 2027 & GSM120686.CEL.gz & 4 & 0 & 0 & 0 & 0 & 6 \\
  157 & 2075 & GSM308285.CEL.gz & 0 & 0 & 0 & 0 & 0 & 5 \\
  158 & 2098 & GSM308308.CEL.gz & 5 & 6 & 0 & 0 & 0 & 0 \\
  159 & 2108 & GSM308319.CEL.gz & 5 & 0 & 0 & 0 & 0 & 0 \\
  160 & 2128 & GSM308339.CEL.gz & 0 & 0 & 0 & 0 & 0 & 6 \\
  161 & 2147 & GSM308358.CEL.gz & 10 & 2 & 4 & 0 & 1 & 0 \\
  162 & 2151 & GSM308362.CEL.gz & 0 & 0 & 3 & 0 & 6 & 0 \\
  163 & 2153 & GSM308364.CEL.gz & 2 & 2 & 0 & 0 & 0 & 10 \\
  164 & 2154 & GSM308365.CEL.gz & 9 & 4 & 0 & 0 & 0 & 0 \\
  165 & 2171 & GSM308382.CEL.gz & 6 & 5 & 0 & 0 & 0 & 0 \\
  166 & 2195 & GSM308406.CEL.gz & 10 & 10 & 8 & 0 & 7 & 1 \\
  167 & 2197 & GSM308408.CEL.gz & 6 & 1 & 0 & 0 & 0 & 1 \\
  168 & 2201 & GSM308412.CEL.gz & 7 & 0 & 0 & 0 & 0 & 3 \\
  169 & 2213 & GSM308424.CEL.gz & 0 & 0 & 9 & 0 & 3 & 0 \\
  170 & 2218 & GSM308429.CEL.gz & 2 & 0 & 5 & 0 & 6 & 1 \\
  171 & 2246 & GSM308457.CEL.gz & 5 & 0 & 8 & 0 & 9 & 2 \\
  172 & 2248 & GSM308459.CEL.gz & 7 & 1 & 0 & 0 & 1 & 0 \\
  173 & 2251 & GSM519723.CEL.gz & 6 & 0 & 0 & 0 & 0 & 0 \\
  174 & 2275 & GSM519747.CEL.gz & 2 & 0 & 3 & 0 & 2 & 5 \\
  175 & 2288 & GSM519760.CEL.gz & 0 & 0 & 1 & 0 & 0 & 10 \\
  176 & 2299 & GSM519772.CEL.gz & 5 & 0 & 10 & 0 & 10 & 3 \\
  177 & 2314 & GSM519787.CEL.gz & 0 & 0 & 6 & 0 & 1 & 0 \\
  178 & 2329 & GSM519802.CEL.gz & 10 & 4 & 9 & 0 & 3 & 5 \\
  179 & 2333 & GSM519806.CEL.gz & 10 & 7 & 10 & 0 & 1 & 10 \\
  180 & 2352 & GSM38062.CEL.gz & 0 & 0 & 5 & 0 & 0 & 0 \\
  181 & 2365 & GSM46891.CEL.gz & 0 & 0 & 6 & 0 & 4 & 2 \\
  182 & 2383 & GSM46908.CEL.gz & 10 & 2 & 4 & 0 & 1 & 0 \\
  183 & 2407 & GSM53034.CEL.gz & 8 & 3 & 8 & 0 & 8 & 9 \\
  184 & 2411 & GSM53109.CEL.gz & 9 & 6 & 7 & 0 & 7 & 9 \\
  185 & 2429 & GSM76613.CEL.gz & 7 & 2 & 8 & 0 & 5 & 8 \\
  186 & 2491 & GSM138035.CEL.gz & 2 & 0 & 7 & 0 & 3 & 1 \\
  187 & 2492 & GSM138028.CEL.gz & 3 & 1 & 9 & 0 & 6 & 8 \\
  188 & 2493 & GSM138031.CEL.gz & 3 & 2 & 8 & 0 & 3 & 2 \\
  189 & 2494 & GSM137950.CEL.gz & 5 & 2 & 0 & 0 & 0 & 0 \\
  190 & 2495 & GSM137943.CEL.gz & 6 & 4 & 5 & 0 & 4 & 5 \\
  191 & 2496 & GSM137944.CEL.gz & 5 & 5 & 4 & 0 & 2 & 1 \\
  192 & 2529 & GSM179932.CEL.gz & 10 & 4 & 0 & 0 & 0 & 1 \\
  193 & 2548 & GSM231887.CEL.gz & 0 & 0 & 6 & 0 & 1 & 0 \\
  194 & 2566 & GSM152569.CEL.gz & 2 & 0 & 0 & 0 & 5 & 0 \\
  195 & 2570 & GSM53161.CEL.gz & 5 & 0 & 1 & 0 & 3 & 0 \\
  196 & 2571 & GSM53147.CEL.gz & 10 & 10 & 9 & 0 & 10 & 10 \\
  197 & 2572 & GSM53131.CEL.gz & 10 & 10 & 0 & 0 & 0 & 2 \\
  198 & 2676 & GSM231918.CEL.gz & 10 & 8 & 1 & 0 & 2 & 6 \\
  199 & 2678 & GSM277707.CEL.gz & 10 & 9 & 0 & 0 & 0 & 0 \\
  200 & 2747 & FB\_1214\_U133\_2.CEL & 0 & 0 & 0 & 0 & 0 & 9 \\
  201 & 2757 & RLi\_74\_U133\_2.CEL & 3 & 0 & 1 & 0 & 2 & 8 \\
  202 & 2764 & FB\_3562\_U133\_2.CEL & 0 & 0 & 5 & 0 & 0 & 0 \\
  203 & 2802 & HdT\_1025\_U133\_2.CEL & 5 & 0 & 4 & 0 & 4 & 3 \\
  204 & 2803 & HdT\_10324\_U133\_2.CEL & 0 & 1 & 7 & 0 & 3 & 2 \\
  205 & 2804 & HdT\_10381\_U133\_2.CEL & 4 & 3 & 8 & 0 & 7 & 7 \\
  206 & 2820 & DB\_73\_U133\_2.CEL & 9 & 10 & 8 & 0 & 7 & 10 \\
  207 & 2832 & DB\_9941\_U133\_2.CEL & 7 & 5 & 6 & 0 & 6 & 8 \\
  208 & 2835 & DB\_9077\_U133\_2.CEL & 5 & 0 & 3 & 0 & 1 & 3 \\
  209 & 2842 & DB\_9983\_U133\_2.CEL & 7 & 9 & 1 & 0 & 0 & 1 \\
  210 & 2912 & 071213-18.CEL & 7 & 5 & 0 & 0 & 0 & 0 \\
  211 & 2914 & 071213-20.CEL & 8 & 5 & 0 & 0 & 0 & 4 \\
  212 & 2945 & 090806-07.CEL & 6 & 5 & 0 & 0 & 2 & 3 \\
  213 & 2956 & 040706-22.CEL & 0 & 0 & 3 & 0 & 0 & 6 \\
  214 & 2970 & 071213-04.CEL & 6 & 7 & 0 & 0 & 0 & 0 \\
  215 & 2977 & 071213-01.CEL & 9 & 6 & 0 & 0 & 3 & 0 \\
  216 & 3033 & HdT\_9913\_U133\_2.CEL & 0 & 0 & 7 & 0 & 1 & 6 \\
  217 & 3043 & DB\_69\_U133\_2.CEL & 5 & 5 & 0 & 0 & 0 & 0 \\
  218 & 3052 & HdT\_3411\_U133\_2.CEL & 6 & 0 & 1 & 0 & 9 & 5 \\
  219 & 3055 & HdT\_9911\_U133\_2.CEL & 7 & 6 & 9 & 0 & 9 & 10 \\
  220 & 3062 & DB\_56\_U133\_2.CEL & 2 & 0 & 6 & 0 & 6 & 2 \\
  221 & 3063 & DB\_57\_U133\_2.CEL & 1 & 0 & 0 & 0 & 0 & 6 \\
  222 & 3064 & DB\_58\_U133\_2.CEL & 1 & 1 & 6 & 0 & 4 & 3 \\
  223 & 3078 & HdT\_3311\_U133\_2.CEL & 5 & 4 & 0 & 0 & 3 & 1 \\
  224 & 3079 & HdT\_3296\_U133\_2.CEL & 1 & 1 & 0 & 0 & 5 & 0 \\
  225 & 3084 & DB\_40\_U133\_2.CEL & 10 & 10 & 0 & 0 & 1 & 1 \\
  226 & 3085 & DB\_42\_U133\_2.CEL & 10 & 8 & 2 & 0 & 10 & 6 \\
  227 & 3099 & HdT\_3139\_U133\_2.CEL & 1 & 1 & 2 & 0 & 0 & 8 \\
  228 & 3121 & 250706-15.CEL & 0 & 0 & 0 & 0 & 0 & 9 \\
  229 & 3158 & DB\_11442\_U133\_2.CEL & 0 & 0 & 2 & 0 & 0 & 10 \\
  230 & 3159 & HdT\_2570\_U133\_2.CEL & 10 & 10 & 0 & 0 & 4 & 0 \\
  231 & 3165 & HdT\_2377\_U133\_2.CEL & 3 & 4 & 5 & 0 & 2 & 1 \\
  232 & 3170 & DB\_11651\_U133\_2.CEL & 9 & 7 & 0 & 0 & 0 & 1 \\
  233 & 3172 & DB\_11614\_U133\_2.CEL & 7 & 2 & 7 & 0 & 5 & 7 \\
  234 & 3176 & DB\_17\_U133\_2.CEL & 10 & 10 & 0 & 0 & 2 & 1 \\
  235 & 3209 & DB\_10797\_U133\_2.CEL & 5 & 4 & 2 & 0 & 0 & 5 \\
  236 & 3242 & GSM519129.CEL.gz & 2 & 0 & 4 & 0 & 1 & 8 \\
  237 & 3251 & GSM519138.CEL.gz & 6 & 0 & 10 & 0 & 10 & 0 \\
  238 & 3257 & GSM519144.CEL.gz & 2 & 0 & 5 & 0 & 4 & 0 \\
  239 & 3270 & GSM519157.CEL.gz & 0 & 0 & 5 & 0 & 0 & 0 \\
  240 & 3281 & GSM519168.CEL.gz & 0 & 0 & 5 & 0 & 2 & 0 \\
  241 & 3296 & GSM519183.CEL.gz & 0 & 0 & 3 & 0 & 1 & 5 \\
  242 & 3300 & GSM519187.CEL.gz & 5 & 0 & 7 & 0 & 0 & 5 \\
  243 & 3301 & GSM519188.CEL.gz & 4 & 0 & 0 & 0 & 0 & 8 \\
  244 & 3303 & GSM519190.CEL.gz & 4 & 0 & 6 & 0 & 2 & 7 \\
  245 & 3337 & GSM519224.CEL.gz & 5 & 0 & 3 & 0 & 8 & 0 \\
  246 & 3350 & GSM519237.CEL.gz & 6 & 6 & 1 & 0 & 0 & 9 \\
  247 & 3379 & GSM519266.CEL.gz & 0 & 0 & 5 & 0 & 1 & 1 \\
  248 & 3381 & GSM519268.CEL.gz & 3 & 10 & 0 & 0 & 0 & 0 \\
  249 & 3394 & GSM519281.CEL.gz & 0 & 0 & 0 & 0 & 0 & 5 \\
  250 & 3400 & GSM519287.CEL.gz & 0 & 1 & 1 & 0 & 8 & 0 \\
  251 & 3476 & GSM519363.CEL.gz & 0 & 0 & 0 & 0 & 9 & 0 \\
  252 & 3499 & GSM519386.CEL.gz & 0 & 0 & 3 & 0 & 7 & 0 \\
  253 & 3502 & GSM519389.CEL.gz & 0 & 0 & 4 & 0 & 7 & 0 \\
  254 & 3529 & GSM519416.CEL.gz & 7 & 3 & 2 & 0 & 4 & 1 \\
  255 & 3531 & GSM519418.CEL.gz & 5 & 0 & 1 & 0 & 1 & 0 \\
  256 & 3532 & GSM519419.CEL.gz & 6 & 0 & 9 & 0 & 6 & 0 \\
  257 & 3535 & GSM519422.CEL.gz & 8 & 0 & 1 & 0 & 5 & 0 \\
  258 & 3542 & GSM519429.CEL.gz & 9 & 1 & 0 & 0 & 0 & 0 \\
  259 & 3543 & GSM519430.CEL.gz & 10 & 7 & 0 & 0 & 0 & 0 \\
  260 & 3544 & GSM519431.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  261 & 3545 & GSM519432.CEL.gz & 10 & 1 & 0 & 0 & 0 & 0 \\
  262 & 3547 & GSM519434.CEL.gz & 10 & 9 & 0 & 0 & 0 & 0 \\
  263 & 3548 & GSM519435.CEL.gz & 6 & 8 & 0 & 0 & 0 & 0 \\
  264 & 3552 & GSM519439.CEL.gz & 6 & 0 & 0 & 0 & 0 & 0 \\
  265 & 3553 & GSM519440.CEL.gz & 2 & 9 & 0 & 0 & 0 & 0 \\
  266 & 3554 & GSM519441.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  267 & 3555 & GSM519442.CEL.gz & 1 & 10 & 0 & 0 & 0 & 0 \\
  268 & 3556 & GSM519443.CEL.gz & 3 & 10 & 0 & 0 & 1 & 0 \\
  269 & 3559 & GSM491177.CEL.gz & 1 & 0 & 1 & 0 & 0 & 5 \\
  270 & 3581 & GSM491199.CEL.gz & 0 & 0 & 3 & 0 & 9 & 4 \\
  271 & 3587 & GSM491205.CEL.gz & 2 & 6 & 0 & 0 & 0 & 0 \\
  272 & 3594 & GSM491212.CEL.gz & 0 & 0 & 3 & 0 & 6 & 0 \\
  273 & 3608 & GSM491226.CEL.gz & 0 & 0 & 0 & 0 & 7 & 0 \\
  274 & 3664 & GSM491282.CEL.gz & 0 & 0 & 0 & 0 & 7 & 0 \\
  275 & 3675 & GSM124997.CEL.gz & 7 & 2 & 1 & 0 & 0 & 5 \\
  276 & 3698 & GSM125020.CEL.gz & 2 & 0 & 5 & 0 & 10 & 4 \\
  277 & 3705 & GSM125027.CEL.gz & 7 & 4 & 0 & 0 & 0 & 0 \\
  278 & 3802 & GSM85476.CEL.gz & 0 & 0 & 6 & 0 & 0 & 0 \\
  279 & 3807 & GSM85481.CEL.gz & 0 & 0 & 0 & 0 & 7 & 0 \\
  280 & 3808 & GSM85482.CEL.gz & 0 & 0 & 10 & 0 & 10 & 9 \\
  281 & 3810 & GSM85484.CEL.gz & 0 & 0 & 5 & 0 & 7 & 0 \\
